entry_time,exit_time,side,entry,sl,tp,exit,qty,pnl,fee,result,reason,balance
2025-12-10 16:11:00,2025-12-10 20:08:00,BUY,92183.31914285714,91563.15,93423.65742857145,93423.65742857145,0.008146850853680247,9.500006079611863,0.604844942211981,WIN,TP,1139.7415145817736
2025-12-10 20:11:00,2025-12-10 20:54:00,BUY,93760.11967142858,92401.28,96477.79901428573,92401.28,0.003975923218862965,-5.698707572908868,0.2960653725638645,LOSS,SL,1134.0428070088647
2025-12-11 03:11:00,2025-12-11 04:49:00,SELL,89495.21862857143,90222.35,88040.95588571427,90222.35,0.007096474928477646,-5.6702140350443235,0.5101444879918471,LOSS,SL,1128.3725929738202
2025-12-15 16:31:00,2025-12-15 17:39:00,SELL,86720.17698571428,87220.0,85720.53095714284,85720.53095714284,0.009908451054283587,9.22149561994198,0.6834481257671243,WIN,TP,1137.5940885937623
2025-12-15 18:26:00,2025-12-15 18:55:00,SELL,85573.54052857142,85980.0,84760.62158571427,85980.0,0.011972635799398619,-5.687970442968812,0.8215792243383825,LOSS,SL,1131.9061181507934
2025-12-16 13:56:00,2025-12-16 15:51:00,SELL,86960.49252857143,87786.88,85307.71758571427,87786.88,0.006314421887565341,-5.659530590753967,0.44137145355557844,LOSS,SL,1126.2465875600394
2025-12-18 13:46:00,2025-12-18 17:03:00,BUY,88822.91007142857,87508.16,91452.41021428572,87508.16,0.004065043007478213,-5.631232937800197,0.28671735335800463,LOSS,SL,1120.6153546222392
2025-12-30 16:16:00,2025-12-30 17:45:00,BUY,89151.34362857143,88458.0,90538.03088571428,88458.0,0.007330153561098577,-5.603076773111196,0.5207615050733415,LOSS,SL,1115.012277849128
2026-01-05 16:01:00,2026-01-06 07:43:00,BUY,93990.59712857142,93227.5,95516.79138571426,93227.5,0.006652941995077173,-5.57506138924564,0.49822045625004396,LOSS,SL,1109.4372164598824
2026-01-09 08:51:00,2026-01-09 13:30:00,SELL,89779.66885714287,90843.77,87651.4665714286,90843.77,0.004881580104446972,-5.547186082299411,0.3526911142087291,LOSS,SL,1103.890030377583
2026-01-13 22:11:00,2026-01-14 20:11:00,BUY,95311.93548571429,94062.0,97811.80645714287,97811.80645714287,0.004163470132392197,10.086512151803197,0.32162597257396164,WIN,TP,1113.976542529386
2026-01-22 15:21:00,2026-01-22 18:19:00,SELL,89151.05811428571,89723.13,88006.91434285713,89723.13,0.008653971604585552,-5.5698827126469315,0.6191888578937292,LOSS,SL,1108.4066598167392
2026-01-29 17:56:00,2026-01-30 01:42:00,SELL,84218.24325714285,85638.3,81378.12977142855,81378.12977142855,0.003724486345536966,10.331259325232178,0.24670457208614407,WIN,TP,1118.7379191419714
2026-01-31 14:16:00,2026-01-31 14:26:00,SELL,82511.90117142857,82928.2,81679.30351428573,81679.30351428573,0.011593742917304495,8.891486943900725,0.7614362465634772,WIN,TP,1127.629406085872
2026-01-31 16:46:00,2026-01-31 18:21:00,SELL,80800.23021428571,82200.0,78000.69064285712,78000.69064285712,0.0038486436587326645,10.529962956126681,0.2444672628231002,WIN,TP,1138.1593690419986
2026-02-01 14:31:00,2026-02-01 14:51:00,SELL,77741.54671428572,78505.04,76214.56014285718,78505.04,0.006889651950171908,-5.690796845209993,0.4305938403455131,LOSS,SL,1132.4685721967887
2026-02-02 03:36:00,2026-02-02 06:43:00,SELL,74792.77467142857,76736.0,70906.32401428572,76736.0,0.0028257504565052933,-5.662342860983944,0.17127300168059084,LOSS,SL,1126.8062293358048
2026-02-03 02:46:00,2026-02-03 03:56:00,SELL,78328.17765714285,78845.64,77293.25297142855,78845.64,0.009708291821808122,-5.634031146679024,0.6103557154252803,LOSS,SL,1121.1721981891258
2026-02-04 13:36:00,2026-02-04 14:34:00,SELL,75710.7047142857,76211.45,74709.21414285712,74709.21414285712,0.009983472393181711,9.397668228971089,0.6006852429179674,WIN,TP,1130.5698664180968
2026-02-04 17:26:00,2026-02-04 18:38:00,SELL,72708.93795714286,73891.62,70343.57387142858,73891.62,0.004553893446319888,-5.652849332090483,0.2670413280431487,LOSS,SL,1124.9170170860064
2026-02-05 01:21:00,2026-02-05 12:17:00,SELL,72094.47705714285,73341.18,69601.07117142857,69601.07117142857,0.004310432476670437,10.503350070150429,0.2443076371536226,WIN,TP,1135.4203671561568
2026-02-05 20:16:00,2026-02-06 00:14:00,SELL,64268.295557142854,66170.0,60464.88667142856,60464.88667142856,0.0029055533246543155,10.906039767979351,0.14496756492757532,WIN,TP,1146.326406924136
2026-02-10 05:41:00,2026-02-10 11:44:00,SELL,69462.43669999999,69864.0,68659.31009999997,68659.31009999997,0.012533804522598049,9.373755421414625,0.6924763898843929,WIN,TP,1155.7001623455508
2026-02-11 04:21:00,2026-02-11 06:10:00,SELL,68069.78612857143,68559.64,67090.0783857143,67090.0783857143,0.010612380051337059,9.823283766472393,0.5737471399651303,WIN,TP,1165.523446112023
2026-02-12 18:16:00,2026-02-12 22:45:00,SELL,65657.99072857143,66200.88,64572.21218571428,66200.88,0.009783908874093887,-5.827617230560114,0.5160380701797075,LOSS,SL,1159.695828881463
2026-02-13 18:36:00,2026-02-13 20:00:00,BUY,69181.68590000001,68903.27,69738.51770000003,68903.27,0.017378933579694097,-5.798479144407315,0.9599077107764356,LOSS,SL,1153.8973497370557
2026-02-23 01:06:00,2026-02-24 01:16:00,SELL,66238.41378571428,67480.54,63754.161357142846,63754.161357142846,0.004453091474780723,10.831055779613369,0.23154753126137986,WIN,TP,1164.728405516669
2026-02-24 04:16:00,2026-02-24 14:52:00,SELL,62934.079985714285,63789.38,61223.47995714286,63789.38,0.0064279361752349485,-5.823642027583345,0.3258281250772445,LOSS,SL,1158.9047634890856
2026-02-25 15:01:00,2026-02-25 18:17:00,BUY,67118.11121428572,66202.66,68949.01364285714,68949.01364285714,0.005981261660928584,10.62556527002698,0.3255412308883246,WIN,TP,1169.5303287591125
2026-02-25 18:26:00,2026-02-25 22:40:00,BUY,69083.07710000001,68373.33,70502.57130000003,68373.33,0.007646691279214801,-5.847651643795563,0.4204346837775078,LOSS,SL,1163.682677115317
2026-02-26 09:11:00,2026-02-26 13:55:00,BUY,68193.73148571429,67904.0,68773.19445714288,67904.0,0.01690560946310725,-5.8184133855765845,0.9203260389249285,LOSS,SL,1157.8642637297403
2026-02-27 04:16:00,2026-02-27 10:03:00,BUY,68204.94095714287,67219.21,70176.4028714286,67219.21,0.0055671871148836125,-5.789321318648702,0.30157263530106365,LOSS,SL,1152.0749424110916
2026-02-28 06:31:00,2026-02-28 18:37:00,SELL,64330.150485714286,65591.04,61808.37145714287,65591.04,0.004387660168750933,-5.760374712055457,0.2280200130283485,LOSS,SL,1146.3145676990362
2026-03-02 15:31:00,2026-03-03 09:26:00,BUY,68659.41245714285,66850.31,72277.61737142857,66850.31,0.0030760228184767216,-5.731572838495181,0.16673239936144757,LOSS,SL,1140.582994860541
2026-03-04 17:11:00,2026-03-04 21:01:00,BUY,73515.17891428572,72898.14,74749.25674285715,72898.14,0.008441206583715926,-5.702914974302705,0.49436202862518736,LOSS,SL,1134.8800798862383
2026-03-05 10:21:00,2026-03-05 10:32:00,BUY,72759.69402857142,72424.0,73431.08208571427,73431.08208571427,0.014410534923103093,8.832386130559124,0.8426749138521838,WIN,TP,1143.7124660167974
2026-03-06 13:56:00,2026-03-07 07:03:00,SELL,69427.79371428571,70341.76,67599.86114285715,67599.86114285715,0.005896190327828563,10.45466189429442,0.32317645328548655,WIN,TP,1154.167127911092
2026-03-09 14:36:00,2026-03-09 16:33:00,BUY,69264.9544,68696.28,70402.30320000001,68696.28,0.009250225807913995,-5.77083563955546,0.5104690283754209,LOSS,SL,1148.3962922715364
2026-03-10 09:21:00,2026-03-10 11:14:00,BUY,70966.71434285714,70611.42,71677.30302857143,70611.42,0.013939365528219526,-5.741981461357683,0.7894037461633824,LOSS,SL,1142.6543108101787
2026-03-11 13:16:00,2026-03-11 17:25:00,BUY,69854.73079999999,69152.57,71259.05239999996,71259.05239999996,0.007539647783135267,10.162510949179234,0.4255792890694841,WIN,TP,1152.816821759358
2026-03-13 00:16:00,2026-03-14 06:40:00,BUY,71570.44955714286,70386.01,73939.32867142858,70386.01,0.004643877931723093,-5.76408410879679,0.263691387921183,LOSS,SL,1147.052737650561
2026-03-16 13:36:00,2026-03-16 14:29:00,BUY,74306.70044285714,73778.19,75363.72132857141,73778.19,0.009758091608659142,-5.735263688252805,0.578010370719861,LOSS,SL,1141.3174739623082
2026-03-20 17:31:00,2026-03-20 17:58:00,SELL,69601.89595714286,69963.88,68877.92787142856,69963.88,0.013658319679152315,-5.70658736981154,0.7624935937166429,LOSS,SL,1135.6108865924966
2026-03-22 00:01:00,2026-03-23 11:06:00,SELL,68380.15271428572,70217.8,64704.85814285716,70217.8,0.0029993634905438123,-5.678054432962483,0.16628225569413854,LOSS,SL,1129.9328321595342
2026-04-07 22:36:00,2026-04-11 18:36:00,BUY,71124.9112,69872.39,73629.95360000001,73629.95360000001,0.004316278795321631,10.562540451119276,0.24992094138235585,WIN,TP,1140.4953726106535
2026-04-13 22:51:00,2026-04-16 13:55:00,BUY,74357.7379,73321.4,76430.41369999999,73321.4,0.005205794340748057,-5.702476863053268,0.3075148881305488,LOSS,SL,1134.7928957476001
2026-04-16 18:46:00,2026-04-17 08:54:00,BUY,74726.21831428571,74240.0,75698.65494285713,75698.65494285713,0.010395592823636376,9.483552944246865,0.6255022931713463,WIN,TP,1144.276448691847
2026-04-17 14:21:00,2026-04-18 08:37:00,BUY,77405.60071428571,76516.17,79184.46214285714,76516.17,0.006016178462011116,-5.721382243459236,0.3704083367223596,LOSS,SL,1138.5550664483878
2026-04-19 17:51:00,2026-04-19 22:21:00,SELL,74850.38745714286,75381.76,73787.64237142859,73787.64237142859,0.009624866162132676,9.65653075698282,0.5722484574812339,WIN,TP,1148.2115972053707
2026-04-22 02:51:00,2026-04-22 15:30:00,BUY,77299.16608571429,76346.54,79204.41825714287,79204.41825714287,0.005661321844954926,10.43183887391486,0.3544068643415852,WIN,TP,1158.6434360792855
2026-04-22 16:01:00,2026-04-22 16:42:00,BUY,79316.7001,78837.66,80274.7803,78837.66,0.010682643336114381,-5.793217180396429,0.6758026483998798,LOSS,SL,1152.8502188988891
