ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_ema50_slope,session,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,2.5,be_1_no_lock,20,False,all,1.0377718498229456,1010.3777184982295,272,0.7431693989071039,22.426470588235293,1.016402989717596,-7.095504151285765,10.541804847922855,-2.998447285426846,0.038153376831726774,6,3475,False
50/200,8,8,50,0.002,0.005,2.5,fixed,20,False,all,1.469097705732247,1014.6909770573225,270,0.7377049180327869,32.592592592592595,1.0157851650481706,-11.259752018103661,10.74288055599729,-5.1136401751123115,0.0544110261382259,6,3475,False
50/200,8,8,50,0.002,0.005,2.0,fixed,25,False,14_20,0.9418554162626948,1009.418554162627,199,0.5437158469945356,37.68844221105528,1.0150041661122455,-5.961923176108419,8.495304252880716,-5.062332780672786,0.04732941790265483,6,1509,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,20,False,14_20,0.6517563168358947,1006.517563168359,329,0.8989071038251366,50.15197568389058,1.0137003875870472,-6.392312830211104,2.922658438591223,-2.9007382877999666,0.019810222396222793,6,1694,False
50/200,8,8,50,0.002,0.005,2.5,fixed,20,False,14_20,0.9096883786567105,1009.0968837865671,202,0.5519125683060109,32.17821782178218,1.0129767424735596,-7.594626741142292,10.924789511877458,-5.116893682375684,0.04503407815131667,6,1694,False
50/200,8,8,50,0.002,0.005,2.0,fixed,20,False,14_20,0.7463894980513714,1007.4638949805137,216,0.5901639344262295,37.5,1.0108235455483352,-7.659253097857708,8.605701970843802,-5.108133071539515,0.03455506935422806,7,1694,False
50/200,8,8,50,0.002,0.005,2.0,fixed,18,False,all,0.9106937990478968,1009.106937990479,287,0.7841530054644809,37.97909407665505,1.0099613267668586,-7.675573425144573,8.47097575952376,-5.136120335941631,0.03173149125602626,6,3634,False
50/200,8,8,50,0.002,0.005,1.5,be_1_no_lock,18,False,all,0.7391673367649446,1007.3916733676494,324,0.8852459016393442,38.88888888888889,1.0097767587391404,-6.585212048911051,6.059024307392654,-3.8184110573930545,0.02281380669027677,6,3634,False
50/200,8,8,50,0.002,0.005,2.5,partial_1r,18,False,all,0.5061494801763388,1005.0614948017634,439,1.1994535519125684,51.025056947608206,1.0078684384289203,-5.626760236137629,2.8943168398411645,-2.9919324526635234,0.01152960091517856,6,3634,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,18,False,all,0.41760620725323183,1004.1760620725323,294,0.8032786885245902,27.89115646258503,1.0062034334984096,-6.50824229756234,8.2605080167396,-3.17540375141564,0.01420429276371266,6,3634,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,25,True,all,0.2504130658586746,1002.5041306585867,243,0.6639344262295082,24.279835390946502,1.004113312822513,-7.66913791716254,10.36086367639406,-3.30862405569926,0.010305064438623905,5,2848,False
50/200,8,8,50,0.002,0.005,2.5,be_1_2,20,False,all,0.1270058396318518,1001.2700583963185,271,0.7404371584699454,23.985239852398525,1.0018601633934217,-7.832007892164611,10.523648844340096,-3.314403478086346,0.0046865623480404905,5,3475,False
50/200,8,8,50,0.002,0.005,1.5,fixed,20,True,14_20,0.0649405779004951,1000.649405779005,211,0.5765027322404371,44.54976303317535,1.0011177675716512,-8.686252124226412,6.18759612495782,-4.965680598008805,0.0030777525071324693,6,1512,False
50/200,8,8,50,0.002,0.005,2.5,be_1_no_lock,18,False,all,-0.055772202721936996,999.4422779727806,278,0.7595628415300546,22.302158273381295,0.9991433471836496,-7.607783867179803,10.491777254342336,-3.0141107027613168,-0.002006194342516128,6,3634,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,14_20,-0.15832863504718941,998.4167136495281,211,0.5765027322404371,40.28436018957346,0.9970179191200901,-7.036731320878334,6.227648434644311,-4.213757169009831,-0.007503726779489267,6,1512,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,25,True,all,-0.20559636645626822,997.9440363354373,259,0.7076502732240437,28.57142857142857,0.996579862705016,-8.156188449180615,8.095660407902193,-3.249377480266618,-0.007938083646957968,7,2848,False
50/200,8,8,50,0.002,0.005,2.0,be_1_no_lock,20,False,all,-0.27929287579552237,997.2070712420448,286,0.7814207650273224,27.27272727272727,0.9956387585168712,-6.776008504688846,8.174419388684115,-3.078834812862098,-0.009765485167676403,6,3475,False
50/200,8,8,50,0.002,0.005,1.5,fixed,25,True,14_20,-0.2688034258227958,997.311965741772,193,0.5273224043715847,44.559585492227974,0.9949223916874976,-6.1697858977884605,6.124439615594503,-4.947568609339771,-0.013927638643669355,6,1354,False
