length,signal,atr_stop,trend_filter,rr,start_balance,end_balance,profit_pct,trades,trades_per_day,wins,losses,winrate,profit_factor,max_drawdown_pct,expectancy,trade_log,equity_log
34,9,1.5,True,2.0,1000.0,957.8413554451832,-4.215864455481675,46,0.12568306010928962,15,31,32.608695652173914,0.7242877449946141,-4.466430282232552,-0.9164922729308016,andean_trades.csv,andean_equity.csv
34,9,1.0,True,2.0,1000.0,957.6558189399225,-4.234418106007752,46,0.12568306010928962,16,30,34.78260869565217,0.7122587055545785,-4.6641687610454845,-0.9205256752190811,andean_trades.csv,andean_equity.csv
89,9,1.5,True,2.0,1000.0,989.7169549214653,-1.0283045078534656,10,0.0273224043715847,3,7,30.0,0.7038770299894198,-2.9627490643734324,-1.0283045078534783,andean_trades.csv,andean_equity.csv
20,9,1.5,True,2.0,1000.0,876.8188997530777,-12.318110024692226,126,0.3442622950819672,40,86,31.746031746031743,0.7002439503973087,-13.681456831403668,-0.9776277797374777,andean_trades.csv,andean_equity.csv
20,13,1.0,False,2.0,1000.0,848.7725943601544,-15.122740563984562,161,0.43989071038251365,55,106,34.161490683229815,0.6867341988557778,-16.762030115646613,-0.9393006561481139,andean_trades.csv,andean_equity.csv
34,13,1.0,False,2.0,1000.0,950.0429199516523,-4.995708004834774,48,0.13114754098360656,16,32,33.33333333333333,0.6810758961954514,-5.5673995777526475,-1.0407725010072448,andean_trades.csv,andean_equity.csv
20,9,1.0,True,2.0,1000.0,874.839344812785,-12.516065518721495,127,0.3469945355191257,43,84,33.85826771653544,0.6789015898443392,-14.572790116667328,-0.9855169699780674,andean_trades.csv,andean_equity.csv
34,13,1.5,True,2.0,1000.0,953.8086742271707,-4.619132577282926,40,0.1092896174863388,12,28,30.0,0.6661594567089528,-5.419377640167281,-1.1547831443207308,andean_trades.csv,andean_equity.csv
20,9,1.0,False,2.0,1000.0,804.7371366976456,-19.52628633023544,178,0.48633879781420764,58,120,32.58426966292135,0.6266336148352295,-22.95798954934889,-1.0969823781031167,andean_trades.csv,andean_equity.csv
20,9,1.5,False,2.0,1000.0,772.3621614703371,-22.763783852966288,176,0.4808743169398907,50,126,28.40909090909091,0.5940178553600913,-24.756858304999636,-1.293396809827624,andean_trades.csv,andean_equity.csv
34,13,1.5,False,2.0,1000.0,928.798900247962,-7.120109975203798,48,0.13114754098360656,13,35,27.083333333333332,0.582662567300866,-7.585804746340523,-1.483356244834126,andean_trades.csv,andean_equity.csv
50,13,1.5,True,2.0,1000.0,974.0446893853824,-2.5955310614617586,13,0.03551912568306011,3,10,23.076923076923077,0.4790380478470261,-3.31965072658166,-1.996562354970595,andean_trades.csv,andean_equity.csv
50,9,1.5,True,2.0,1000.0,964.3285936087632,-3.5671406391236817,15,0.040983606557377046,3,12,20.0,0.4004580189553319,-4.284037210584011,-2.378093759415795,andean_trades.csv,andean_equity.csv
89,9,1.0,False,2.0,1000.0,970.1891031995103,-2.9810896800489672,11,0.030054644808743168,2,9,18.181818181818183,0.3286901814785626,-3.9306956424562958,-2.7100815273172576,andean_trades.csv,andean_equity.csv
89,13,1.0,False,2.0,1000.0,970.1891031995103,-2.9810896800489672,11,0.030054644808743168,2,9,18.181818181818183,0.3286901814785626,-3.9306956424562958,-2.7100815273172576,andean_trades.csv,andean_equity.csv
89,9,1.0,True,2.0,1000.0,962.8859111905502,-3.7114088809449752,10,0.0273224043715847,1,9,10.0,0.15860952066391446,-4.411042164244031,-3.711408880944969,andean_trades.csv,andean_equity.csv
89,13,1.0,True,2.0,1000.0,962.8859111905502,-3.7114088809449752,10,0.0273224043715847,1,9,10.0,0.15860952066391446,-4.411042164244031,-3.711408880944969,andean_trades.csv,andean_equity.csv
