ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,regime,use_atr_expansion,atr_ma_period,atr_expansion_ratio_min,use_bb_width,bb_length,use_donchian,donchian_n,chop_max,high_vol_day_only,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.1_plus_bb20,True,50,1.1,True,20,False,20,0.0,False,18.865623637355974,1188.6562363735598,12,0.03278688524590164,8.333333333333332,6.923299595908264,-3.1849855527125785,220.50609190068542,-2.8954414115568747,15.721353031129985,4,315,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.1_plus_bb20,True,50,1.1,True,20,False,20,0.0,False,18.865623637355974,1188.6562363735598,12,0.03278688524590164,8.333333333333332,6.923299595908264,-3.1849855527125785,220.50609190068542,-2.8954414115568747,15.721353031129985,4,315,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_20_high_vol,False,50,1.0,False,20,True,20,0.0,True,18.812217995577566,1188.1221799557757,12,0.03278688524590164,8.333333333333332,6.826951007880161,-3.2284839824698452,220.407019780474,-2.934985438608942,15.676848329647969,2,155,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,donchian_20_high_vol,False,50,1.0,False,20,True,20,0.0,True,18.812217995577566,1188.1221799557757,12,0.03278688524590164,8.333333333333332,6.826951007880161,-3.2284839824698452,220.407019780474,-2.934985438608942,15.676848329647969,2,155,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,chop_lt_45_high_vol,False,50,1.0,False,20,False,20,45.0,True,13.670902561390493,1136.709025613905,14,0.03825136612021858,7.142857142857142,6.72583929679825,-2.387580554179192,160.5848311556969,-1.836600426291679,9.764930400993219,4,249,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,chop_lt_45_high_vol,False,50,1.0,False,20,False,20,45.0,True,13.670902561390493,1136.709025613905,14,0.03825136612021858,7.142857142857142,6.72583929679825,-2.387580554179192,160.5848311556969,-1.836600426291679,9.764930400993219,4,249,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,9.68954230557631,1096.895423055763,10,0.0273224043715847,10.0,6.724587076492432,-1.6926185550335278,113.8216086060983,-1.880687283370599,9.68954230557629,3,129,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,donchian_20,False,50,1.0,False,20,True,20,0.0,False,9.68954230557631,1096.895423055763,10,0.0273224043715847,10.0,6.724587076492432,-1.6926185550335278,113.8216086060983,-1.880687283370599,9.68954230557629,3,129,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.2_plus_chop50_high_vol,True,50,1.2,False,20,False,20,50.0,True,18.70594533310891,1187.0594533310891,15,0.040983606557377046,6.666666666666667,6.642747375218262,-3.3150421398025514,220.20987472911474,-2.3678872427161237,12.4706302220726,5,235,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_50_1.2_plus_chop50_high_vol,True,50,1.2,False,20,False,20,50.0,True,18.70594533310891,1187.0594533310891,15,0.040983606557377046,6.666666666666667,6.642747375218262,-3.3150421398025514,220.20987472911474,-2.3678872427161237,12.4706302220726,5,235,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.2_high_vol,True,50,1.2,False,20,False,20,0.0,True,18.609872223813454,1186.0987222381345,16,0.04371584699453552,6.25,6.4843106818686,-3.39329284997267,220.0316507378612,-2.2621952333151127,11.631170139883407,5,338,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.2_high_vol,True,50,1.2,False,20,False,20,0.0,True,18.609872223813454,1186.0987222381345,16,0.04371584699453552,6.25,6.4843106818686,-3.39329284997267,220.0316507378612,-2.2621952333151127,11.631170139883407,5,338,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,atr_50_1.1_plus_donchian20,True,50,1.1,False,20,True,20,0.0,False,9.556824767686317,1095.5682476768632,11,0.030054644808743168,9.090909090909092,6.275454103694834,-1.8115643847593903,113.68389152445715,-1.811564384759389,8.688022516078478,4,187,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,atr_50_1.1_plus_donchian20,True,50,1.1,False,20,True,20,0.0,False,9.556824767686317,1095.5682476768632,11,0.030054644808743168,9.090909090909092,6.275454103694834,-1.8115643847593903,113.68389152445715,-1.811564384759389,8.688022516078478,4,187,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,all,0,0.5,prev_candle,atr_bb_donchian,True,50,1.1,True,20,True,20,0.0,False,9.556824767686317,1095.5682476768632,11,0.030054644808743168,9.090909090909092,6.275454103694834,-1.8115643847593903,113.68389152445715,-1.811564384759389,8.688022516078478,4,168,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,all,0,0.5,prev_candle,atr_bb_donchian,True,50,1.1,True,20,True,20,0.0,False,9.556824767686317,1095.5682476768632,11,0.030054644808743168,9.090909090909092,6.275454103694834,-1.8115643847593903,113.68389152445715,-1.811564384759389,8.688022516078478,4,168,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,chop_lt_45,False,50,1.0,False,20,False,20,45.0,False,18.147244141492365,1181.4724414149237,15,0.040983606557377046,6.666666666666667,5.8134657100738725,-3.7700993908636176,219.17343532355974,-2.692928136331148,12.098162760994912,5,454,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,chop_lt_45,False,50,1.0,False,20,False,20,45.0,False,18.147244141492365,1181.4724414149237,15,0.040983606557377046,6.666666666666667,5.8134657100738725,-3.7700993908636176,219.17343532355974,-2.692928136331148,12.098162760994912,5,454,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.2,True,50,1.2,False,20,False,20,0.0,False,18.14191116874813,1181.4191116874813,15,0.040983606557377046,6.666666666666667,5.806513418043524,-3.7744430506828395,219.16354219430957,-2.6960307504877323,12.094607445832088,5,591,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.2,True,50,1.2,False,20,False,20,0.0,False,18.14191116874813,1181.4191116874813,15,0.040983606557377046,6.666666666666667,5.806513418043524,-3.7744430506828395,219.16354219430957,-2.6960307504877323,12.094607445832088,5,591,False
50/200,8,8,50,0.002,0.005,1.5,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.3,True,50,1.3,False,20,False,20,0.0,False,18.14191116874813,1181.4191116874813,15,0.040983606557377046,6.666666666666667,5.806513418043524,-3.7744430506828395,219.16354219430957,-2.6960307504877323,12.094607445832088,5,520,False
50/200,8,8,50,0.002,0.005,2.0,be_1_2,20,True,False,False,14_20,0,0.5,prev_candle,atr_expansion_50_1.3,True,50,1.3,False,20,False,20,0.0,False,18.14191116874813,1181.4191116874813,15,0.040983606557377046,6.666666666666667,5.806513418043524,-3.7744430506828395,219.16354219430957,-2.6960307504877323,12.094607445832088,5,520,False
