ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,rr,exit_mode,m15_adx_min,require_m15_adx_rising,require_ema50_slope,use_h1_bias,session,min_hold_minutes,partial_pct,trail_type,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,negative_months,signal_candidates,passes_robust_filter
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,14_20,15,0.0,ema20,-10.156915790478548,898.4308420952145,162,0.4426229508196721,26.543209876543212,0.7950842477559721,-14.69181968871145,9.164973230896061,-4.165235351540474,-0.6269701105233688,9,990,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,all,25,0.0,prev_candle,-13.58158832711173,864.1841167288827,271,0.7404371584699454,35.05535055350554,0.7886202229581434,-16.224484679845304,5.333734960758738,-3.6506858212681697,-0.501165620926634,10,2078,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,14_20,25,0.0,ema20,-10.725470708354989,892.7452929164501,162,0.4426229508196721,27.160493827160494,0.7867878127863737,-15.028907856830806,8.995168093527447,-4.263068671175911,-0.6620660931083322,9,990,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,15,0.5,ema20,-14.140602297035365,858.5939770296463,376,1.0273224043715847,52.92553191489362,0.7710971849447679,-15.92633226531549,2.39371706272674,-3.490145301994206,-0.37607984832540764,9,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,True,all,15,0.0,prev_candle,-14.20576141758968,857.9423858241032,278,0.7595628415300546,35.25179856115108,0.7605633529572551,-15.721364282687006,4.604507811810905,-3.2961076651853674,-0.510998612143516,10,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,True,all,15,0.5,ema20,-16.16654712939268,838.3345287060732,364,0.994535519125683,52.197802197802204,0.7367007119358582,-17.910140878481787,2.380702217403894,-3.5287292678199247,-0.44413591014815124,10,2078,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,14_20,15,0.3,ema20,-13.840903454147996,861.59096545852,235,0.6420765027322405,48.08510638297872,0.7075665833264279,-14.304660439754976,2.9636458934859493,-3.879516561519612,-0.5889746150701295,10,1009,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,25,0.5,ema20,-18.738124660387783,812.6187533961222,366,1.0,51.63934426229508,0.707226399802917,-20.308143847295774,2.394919225901419,-3.6159377418036405,-0.5119706191362735,11,2128,False
50/200,8,8,50,0.002,0.005,0.0,partial_trailing,20,True,False,False,all,25,0.3,prev_candle,-18.803312629436594,811.966873705634,376,1.0273224043715847,52.659574468085104,0.7022894861781014,-19.751458175505736,2.2402225835120375,-3.5482988642120756,-0.5000881018467183,9,2128,False
50/200,8,8,50,0.002,0.005,0.0,trailing_only,20,True,False,False,14_20,15,0.0,prev_candle,-14.319056958257681,856.8094304174232,194,0.5300546448087432,34.5360824742268,0.6938446454743247,-15.493872189766957,4.843507711969341,-3.682721151846636,-0.7380957194978192,8,1009,False
