ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
50/200,16,12,20,0.001,0.01,-48.041025356519015,519.5897464348099,449,1.226775956284153,34.96659242761693,0.72965617501825,-48.620722543833686,8.258751977164769,-6.085733951986498,-1.0699560213033161,False
20/50,16,12,50,0.001,0.01,-47.86035087795407,521.3964912204593,441,1.2049180327868851,32.6530612244898,0.711151652003813,-50.63663575206954,8.182871312839602,-5.57891238326075,-1.085268727391248,False
20/50,8,8,20,0.001,0.01,-48.940778996371215,510.59221003628784,446,1.2185792349726776,34.97757847533632,0.7084201257646675,-49.55183242008363,7.6221874644551875,-5.7878242566162745,-1.0973268833267045,False
50/200,8,4,50,0.0005,0.01,-53.43756675145862,465.62433248541385,483,1.319672131147541,34.57556935817806,0.7092296075912203,-54.46381442490341,7.8048916475010826,-5.815799280529327,-1.106367841645107,False
50/200,16,4,20,0.001,0.01,-50.35309915046467,496.46900849535325,454,1.2404371584699454,34.801762114537446,0.7179730888698267,-52.82589803382093,8.113098230423498,-6.031758486187703,-1.1090991002305013,False
20/50,8,4,50,0.0005,0.01,-53.793625467503645,462.0637453249635,481,1.314207650273224,33.471933471933475,0.6769241237019075,-55.36700136026492,7.000682785117686,-5.203269322121827,-1.1183705918399942,False
20/50,8,4,20,0.001,0.01,-49.570576100733085,504.2942389926692,443,1.210382513661202,34.76297968397291,0.6981775071762834,-50.663535385395555,7.4459051035918895,-5.682958986022427,-1.1189746298133871,False
50/200,16,12,50,0.001,0.01,-49.0515273644256,509.484726355744,436,1.1912568306010929,33.48623853211009,0.7171314337792163,-52.509749976701336,8.517531516946901,-5.97956853489139,-1.1250350312941642,False
20/50,8,4,20,0.0005,0.01,-54.49027699294254,455.09723007057454,479,1.3087431693989071,34.65553235908142,0.6805018325856744,-56.238528598997995,6.991524038012575,-5.448868243576723,-1.1375840708338762,False
20/50,16,4,50,0.0005,0.01,-55.14283629995099,448.5716370004901,481,1.314207650273224,34.71933471933472,0.6752758808552495,-56.66704876159603,6.8665615934567015,-5.408102385690383,-1.1464207130966968,False
20/50,8,12,50,0.0005,0.01,-55.98052300015208,440.1947699984792,485,1.325136612021858,33.608247422680414,0.6541481440743404,-58.48064610609542,6.495840463367893,-5.026792625871075,-1.154237587632,False
50/200,16,8,20,0.001,0.01,-51.57643435460344,484.2356564539656,444,1.2131147540983607,33.108108108108105,0.704013256736728,-53.32072875153465,8.345311593434769,-5.86708803966648,-1.1616314043829585,False
20/50,16,12,20,0.0005,0.01,-55.79200544931684,442.0799455068315,480,1.3114754098360655,32.916666666666664,0.6572454152611816,-57.684412933706554,6.77109922517821,-5.055135813886108,-1.1623334468607696,False
50/200,8,4,20,0.001,0.01,-52.28777194618297,477.1222805381704,447,1.221311475409836,34.675615212527966,0.6986670745766447,-53.23447813105505,7.821537420980447,-5.942520615458215,-1.1697488131137128,False
50/200,8,8,20,0.001,0.01,-52.70418391233874,472.9581608766126,450,1.2295081967213115,34.66666666666667,0.7059315446947614,-53.54875904180535,8.110257499287519,-6.096061255143674,-1.17120408694086,False
20/50,8,12,20,0.0005,0.01,-57.88271266020634,421.1728733979367,487,1.330601092896175,34.08624229979466,0.6339021176080939,-59.98437934653985,6.037619974198927,-4.925458075760391,-1.1885567281356537,False
20/50,8,8,20,0.0005,0.01,-58.24090335994554,417.5909664005446,481,1.314207650273224,34.303534303534306,0.6491429155029433,-58.43732653779761,6.530617231280585,-5.253040749242886,-1.2108295916828593,False
50/200,16,4,20,0.0005,0.01,-59.78110464753772,402.1889535246228,484,1.3224043715846994,34.29752066115703,0.6459319979255178,-61.17112257904349,6.569857749899276,-5.309457336347976,-1.2351467902383817,False
20/50,16,8,50,0.0005,0.01,-58.84164714329434,411.5835285670567,472,1.289617486338798,34.11016949152542,0.6189942512911937,-59.16728563793184,5.937642321514023,-4.965842074587463,-1.2466450665952187,False
50/200,16,4,50,0.001,0.01,-54.875155103763475,451.2484489623653,432,1.180327868852459,33.101851851851855,0.6987519860703812,-57.451177498480796,8.900995597627174,-6.303093153973429,-1.2702582199945254,False
