ema,lorentzian_k,lorentzian_horizon,andean_length,min_atr_pct,risk,profit_pct,final_balance,total_trades,trades_per_day,winrate,profit_factor,max_drawdown_pct,avg_win,avg_loss,expectancy,passes_robust_filter
20/50,16,12,20,0.0005,0.005,-33.13675912337129,668.6324087662871,480,1.3114754098360655,32.916666666666664,0.665881245404396,-34.6030150561853,4.17973620484135,-3.0800183590020107,-0.690349148403571,False
20/50,16,8,50,0.002,0.01,-22.229700744609943,777.7029925539006,319,0.8715846994535519,36.36363636363637,0.8406235321136061,-24.16550817947199,10.107714644398424,-6.870896089637027,-0.6968558227150449,False
20/50,8,12,20,0.0005,0.005,-34.73129384461313,652.6870615538687,487,1.330601092896175,34.08624229979466,0.6478308565783065,-36.41009748208379,3.8487810288800475,-3.0723071315894694,-0.7131682514294286,False
20/50,8,8,20,0.0005,0.005,-35.00960644590181,649.9039355409819,481,1.314207650273224,34.303534303534306,0.6556315645513834,-35.17385283571115,4.039613370655616,-3.2171907298012483,-0.727850445860744,False
20/50,16,12,20,0.002,0.01,-22.14429828567804,778.5570171432196,304,0.8306010928961749,34.868421052631575,0.8354116413866124,-26.78506435333826,10.603700830527108,-6.795127630770979,-0.7284308646604619,False
50/200,16,4,20,0.0005,0.005,-36.21603420660393,637.8396579339607,484,1.3224043715846994,34.29752066115703,0.6481601305425583,-37.341106870484396,4.019111604762669,-3.2368958127567358,-0.7482651695579318,False
50/200,16,4,50,0.001,0.005,-32.44448731420255,675.5551268579745,432,1.180327868852459,33.101851851851855,0.6860558533499128,-34.41450918744708,4.958062101786847,-3.575943784420568,-0.7510297989398728,False
20/50,16,8,50,0.0005,0.005,-35.487166933924925,645.1283306607507,472,1.289617486338798,34.11016949152542,0.6325002390841906,-35.75161370676335,3.7935785984841797,-3.1049447707241233,-0.7518467570746808,False
20/50,16,8,20,0.001,0.005,-33.571383764701395,664.286162352986,439,1.1994535519125684,32.346241457858774,0.6474504290278479,-33.93332157568851,4.34177417096991,-3.2062147135513186,-0.764724003751741,False
20/50,16,8,20,0.002,0.01,-25.075209373154895,749.2479062684511,326,0.8907103825136612,35.58282208588957,0.8232028324798619,-25.246006559589425,10.065100877513558,-6.753827597729151,-0.7691782016305182,False
20/50,16,4,20,0.001,0.01,-34.77944092313873,652.2055907686128,452,1.2349726775956285,37.610619469026545,0.8162081709479735,-39.365883663496646,9.085491228561333,-6.71038268825112,-0.7694566575915694,False
50/200,8,12,50,0.0005,0.005,-37.21530769110719,627.8469230889281,479,1.3087431693989071,33.40292275574113,0.6357665315243008,-38.255112445589994,4.059938394287662,-3.202956802498741,-0.7769375300857464,False
50/200,16,8,50,0.0005,0.005,-37.51672180246758,624.8327819753242,481,1.314207650273224,33.88773388773389,0.6269506223560957,-37.51672180246758,3.868158814051431,-3.1625066186008177,-0.7799734262467293,False
50/200,8,8,50,0.0005,0.005,-37.97551171869655,620.2448828130345,486,1.3278688524590163,34.97942386831276,0.6317980084024136,-37.97551171869655,3.8330707248378544,-3.2638517101563282,-0.7813891300143303,False
50/200,16,4,50,0.002,0.01,-21.590537013491744,784.0946298650825,276,0.7540983606557377,35.14492753623188,0.8303750811355589,-21.590537013491744,10.896232593021965,-7.1108376070282,-0.7822658338221635,False
20/50,16,12,50,0.0005,0.005,-37.02562354438622,629.7437645561378,471,1.2868852459016393,31.422505307855626,0.6307620582453066,-39.218881578019946,4.273659390035593,-3.104513390616501,-0.7861066569933378,False
20/50,8,4,20,0.002,0.01,-26.41825327279505,735.8174672720495,336,0.9180327868852459,35.41666666666667,0.8080982760824607,-26.41825327279505,9.348510974166887,-6.34403381868115,-0.7862575378808037,False
50/200,8,12,20,0.0005,0.005,-38.3731949229443,616.268050770557,484,1.3224043715846994,33.057851239669425,0.6124880863969696,-39.2869762481965,3.790710024364695,-3.056313435579611,-0.7928346058459561,False
20/50,8,4,50,0.002,0.01,-26.15532088704357,738.4467911295643,328,0.8961748633879781,34.756097560975604,0.8119618495865499,-27.08053754541464,9.907061402204151,-6.499804713652846,-0.7974183197269384,False
50/200,16,4,50,0.0005,0.005,-38.63846036971671,613.6153963028329,478,1.3060109289617485,33.68200836820084,0.6375350307945928,-38.63846036971671,4.221161317436253,-3.362749450487076,-0.8083359909982561,False
20/50,16,4,50,0.002,0.01,-24.793252064826664,752.0674793517334,306,0.8360655737704918,35.294117647058826,0.8204555279990412,-25.573570556535824,10.490416894405644,-6.974230026485241,-0.8102369955825756,False
50/200,8,4,20,0.0005,0.005,-38.955339938963725,610.4466006103628,480,1.3114754098360655,32.5,0.6183563068855126,-40.180246148105375,4.045974162637647,-3.1503869406207095,-0.8115695820617437,False
50/200,16,12,20,0.0005,0.005,-39.57342630024573,604.2657369975427,481,1.314207650273224,31.600831600831604,0.609787937708443,-39.917653951666516,4.068536387956861,-3.0825282491547132,-0.8227323555144649,False
20/50,8,8,50,0.0005,0.005,-39.65265886735235,603.4734113264765,478,1.3060109289617485,33.054393305439326,0.6075139325497612,-40.258752771076914,3.8846082173694367,-3.157170896930919,-0.8295535327897975,False
50/200,8,8,20,0.0005,0.005,-41.32944818998563,586.7055181001438,488,1.3333333333333333,33.60655737704918,0.5947005157468963,-41.32944818998563,3.697754062128622,-3.1473029262004606,-0.8469149219259328,False
50/200,16,8,20,0.0005,0.005,-40.240419500438655,597.5958049956134,475,1.2978142076502732,30.94736842105263,0.5925457808590407,-40.240419500438655,3.9809640496985454,-3.010993628994126,-0.8471667263250255,False
20/50,16,8,20,0.0005,0.005,-39.62161629395632,603.7838370604368,466,1.273224043715847,31.115879828326182,0.5863795509649576,-39.98927695785278,3.87383394526571,-2.9841809501653898,-0.8502492766943395,False
50/200,16,12,50,0.0005,0.005,-40.81155836511169,591.8844163488831,473,1.2923497267759563,31.289640591966172,0.596873119799279,-42.0444660145525,4.082834033497022,-3.115000063411308,-0.8628236440826973,False
50/200,16,12,20,0.002,0.01,-27.10405192190161,728.9594807809839,308,0.8415300546448088,32.467532467532465,0.8040663518320068,-28.737004887887284,11.122875704342071,-6.6506158156405,-0.880001685776029,False
20/50,16,8,50,0.001,0.01,-40.40723474982385,595.9276525017615,440,1.2021857923497268,36.36363636363637,0.7649299174970827,-44.13204100249183,8.21794888102263,-6.1390863159352085,-0.9183462443141763,False
50/200,8,12,50,0.001,0.01,-42.05934560533721,579.406543946628,455,1.2431693989071038,36.92307692307693,0.7823575224824408,-46.28447452650851,8.999426436033122,-6.7334393634388086,-0.9243812220953265,False
20/50,16,12,20,0.001,0.01,-42.372507523707284,576.2749247629272,451,1.2322404371584699,34.368070953436806,0.7438173932997002,-43.2200538976655,7.93723349737143,-5.587825227465022,-0.9395234484192347,False
50/200,8,12,20,0.001,0.01,-44.021242184244954,559.7875781575505,467,1.2759562841530054,37.04496788008566,0.7665945770855904,-46.61774973107548,8.357396187553892,-6.415108715269641,-0.9426390189345847,False
20/50,8,4,50,0.001,0.01,-42.54753029062688,574.5246970937312,451,1.2322404371584699,35.47671840354767,0.757484510117338,-44.360415115437576,8.305937270875951,-6.028952804970527,-0.9434042193043705,False
20/50,16,4,50,0.001,0.01,-42.77210759083598,572.2789240916402,451,1.2322404371584699,35.69844789356985,0.7723970444644628,-45.55794324577905,9.015659074560116,-6.480145472112203,-0.9483837603289584,False
50/200,8,8,50,0.001,0.01,-43.08355166097898,569.1644833902102,450,1.2295081967213115,38.0,0.7527892736910463,-47.06662702755754,7.672227976433215,-6.246546597060461,-0.9574122591328644,False
50/200,8,4,50,0.001,0.01,-43.28867346684856,567.1132653315144,449,1.226775956284153,36.080178173719375,0.7687508824283806,-48.20472207248637,8.883105215562473,-6.522473099615344,-0.9641129948073125,False
20/50,8,8,50,0.001,0.01,-44.929746286725695,550.702537132743,454,1.2404371584699454,36.12334801762114,0.7487235976608368,-47.7563708706802,8.163190543295643,-6.1657265929922165,-0.9896419886943989,False
20/50,8,12,20,0.001,0.01,-46.360112196139745,536.3988780386026,467,1.2759562841530054,36.61670235546038,0.7240329547101441,-49.00778704177798,7.112945448875855,-5.67538781661881,-0.9927218885683009,False
20/50,16,12,50,0.002,0.01,-30.04447983879795,699.5552016120205,302,0.825136612021858,30.4635761589404,0.7642211691399412,-33.25944600334467,10.585006178318277,-6.067930318063145,-0.9948503257880098,False
20/50,16,4,20,0.0005,0.01,-48.55735621509572,514.4264378490427,487,1.330601092896175,36.96098562628337,0.7342692125409035,-52.36364030966257,7.454112999946284,-5.9521625476915005,-0.9970709695091572,False
50/200,16,8,50,0.001,0.01,-44.78998918044815,552.1001081955185,440,1.2021857923497268,36.36363636363637,0.7367041060379941,-46.74031884555505,7.832672692427875,-6.075455437831931,-1.0179542995556383,False
