logged_at,market,symbol,candle_time,signal_time,close,side_candidate,m15_trend,ema50,ema200,adx,adx_rising,donchian_high,donchian_low,donchian_breakout_buy,donchian_breakout_sell,bos_buy,bos_sell,m1_confirm_buy,m1_confirm_sell,tier,risk_pct,breakout_body_ratio,breakout_move_atr_ratio,wick_pct,close_quality,atr_pct,entry,sl,tp,rr,spread,spread_points,spread_pct,final_signal,blocked_by,block_reason,external_blocked_by,external_block_reason
2026-04-29T10:15:16,bitcoin_demo,BTCUSDT,2026-04-29 03:10:00,2026-04-29 03:15:00,76569.8,BUY,DOWN,76327.823920384,76818.75767287207,21.5844159767743,False,76556.8,76152.0,True,False,True,False,False,False,A,0.0025,1.9131308059250598,0.2281559483515031,0.0,1.0,0.0007441389611644969,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:15:23,bitcoin_demo,ETHUSDT,2026-04-29 03:10:00,2026-04-29 03:15:00,2289.63,NONE,DOWN,2286.7774333492684,2297.3525462921407,20.212345475765996,False,2293.89,2278.73,False,False,True,False,False,False,,,0.25939474559383907,,0.0,,0.0007792899788549605,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:15:27,bitcoin_demo,SOLUSDT,2026-04-29 03:10:00,2026-04-29 03:15:00,84.18,BUY,DOWN,83.80766086767537,84.40318639949193,44.22155782480824,True,84.15,83.76,True,False,True,False,False,False,A,0.0025,1.411764705882345,0.3783783783783784,0.2999999999998863,0.7000000000001136,0.0009418592811323032,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:20:13,bitcoin_demo,BTCUSDT,2026-04-29 03:15:00,2026-04-29 03:20:00,76659.1,BUY,DOWN,76337.31317840816,76816.28048209722,19.48811495953516,False,76569.8,76230.7,True,False,True,False,False,False,B,0.01,2.2400000000002356,1.514843087362162,0.0,1.0,0.0007689889393431736,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:20:19,bitcoin_demo,ETHUSDT,2026-04-29 03:15:00,2026-04-29 03:20:00,2295.96,BUY,DOWN,2286.889298708121,2297.2757050355026,15.725132409536018,False,2293.89,2281.06,True,False,True,False,False,False,B,0.01,4.225634178905217,1.0218617771510095,0.03945371775420524,1.0,0.0008822951121597337,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:20:24,bitcoin_demo,SOLUSDT,2026-04-29 03:15:00,2026-04-29 03:20:00,84.48,BUY,DOWN,83.82226240227634,84.40096563929798,46.37575283614588,True,84.21,83.8,True,False,True,False,False,False,B,0.01,6.593406593406247,2.8421052631579453,0.0,1.0,0.0011245265151515376,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:25:41,bitcoin_demo,BTCUSDT,2026-04-29 03:20:00,2026-04-29 03:25:00,76802.2,BUY,DOWN,76337.31317840816,76816.28048209722,19.48811495953516,False,76659.1,76274.8,True,False,True,False,False,False,B,0.01,3.3102012491322665,1.9532026908451074,0.35509138381204614,0.8888474449832068,0.0009539347273162433,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:25:46,bitcoin_demo,ETHUSDT,2026-04-29 03:20:00,2026-04-29 03:25:00,2298.79,BUY,DOWN,2286.889298708121,2297.2757050355026,15.725132409536018,False,2295.96,2281.94,True,False,True,False,False,False,B,0.01,2.230440967283137,1.2228395061728046,0.21052631578948447,0.8000000000000137,0.00100674081333472,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:25:51,bitcoin_demo,SOLUSDT,2026-04-29 03:20:00,2026-04-29 03:25:00,84.5,BUY,DOWN,83.82226240227634,84.40096563929798,46.37575283614588,True,84.48,83.84,True,False,True,False,False,False,A,0.0025,0.3418803418802609,0.19580419580415398,0.611111111111133,0.7222222222222267,0.0012087912087912266,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:30:09,bitcoin_demo,SOLUSDT,2026-04-29 03:25:00,2026-04-29 03:30:00,84.48,NONE,DOWN,83.82226240227634,84.40096501252717,46.37575283614588,True,84.55,83.9,False,False,False,False,False,False,,,0.3636363636362791,,0.33333333333349124,,0.0012006222943723077,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:30:47,bitcoin_demo,BTCUSDT,2026-04-29 03:25:00,2026-04-29 03:30:00,76831.6,NONE,DOWN,76337.31317840816,76816.28241004415,19.48811495953516,False,76832.0,76350.0,False,False,True,False,False,False,,,0.6271331058022204,,0.25702811244984264,,0.0009653765972780896,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:30:51,bitcoin_demo,ETHUSDT,2026-04-29 03:25:00,2026-04-29 03:30:00,2298.03,NONE,DOWN,2286.889298708121,2297.275713872971,15.725132409536018,False,2300.12,2284.62,False,False,False,False,False,False,,,0.4303510758775594,,0.40816326530611613,,0.001019817595319219,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:35:36,bitcoin_demo,BTCUSDT,2026-04-29 03:30:00,2026-04-29 03:35:00,76788.2,NONE,DOWN,76356.69697533334,76816.43482387456,19.192288235431118,False,76839.2,76356.9,False,False,True,False,False,False,,,1.1429920887946015,,0.06382978723382098,,0.001004060519715304,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:35:41,bitcoin_demo,ETHUSDT,2026-04-29 03:30:00,2026-04-29 03:35:00,2297.59,NONE,DOWN,2287.326188954861,2297.283219207569,14.185479794620038,False,2300.12,2284.62,False,False,False,False,False,False,,,0.3048146865258491,,0.761316872427855,,0.0010256088211685235,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:35:46,bitcoin_demo,SOLUSDT,2026-04-29 03:30:00,2026-04-29 03:35:00,84.37,NONE,DOWN,83.84805603355962,84.40175143031297,47.830779291172234,True,84.55,83.96,False,False,False,False,False,False,,,2.580645161290017,,0.07692307692311896,,0.0012868487444758717,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:40:28,bitcoin_demo,BTCUSDT,2026-04-29 03:35:00,2026-04-29 03:40:00,76849.3,BUY,DOWN,76356.69697533334,76816.43482387456,19.192288235431118,False,76839.9,76365.5,True,False,True,False,False,False,A,0.0025,1.4664586583464174,0.1150048064319819,0.1195965417867704,1.0,0.0010635843694831002,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:40:32,bitcoin_demo,ETHUSDT,2026-04-29 03:35:00,2026-04-29 03:40:00,2305.54,BUY,DOWN,2287.326188954861,2297.283219207569,14.185479794620038,False,2300.12,2284.62,True,False,True,False,False,False,B,0.01,5.616389968209086,1.935220606988015,0.017305315203995662,1.0,0.0012147758380745164,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:40:38,bitcoin_demo,SOLUSDT,2026-04-29 03:35:00,2026-04-29 03:40:00,84.6,BUY,DOWN,83.84805603355962,84.40175143031297,47.830779291172234,True,84.55,83.96,True,False,True,False,False,False,A,0.0025,4.59999999999973,0.41176470588232883,0.040000000000020464,0.9599999999999795,0.0014353259034110123,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:45:17,bitcoin_demo,BTCUSDT,2026-04-29 03:40:00,2026-04-29 03:45:00,76989.4,BUY,DOWN,76356.69697533334,76816.43483390292,19.192288235431118,False,76849.3,76365.5,True,False,True,False,False,False,B,0.01,3.2218006209034082,1.6232723661340744,0.20397727272732233,1.0,0.001121026308259919,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:45:22,bitcoin_demo,ETHUSDT,2026-04-29 03:40:00,2026-04-29 03:45:00,2313.66,BUY,DOWN,2287.326188954861,2297.28318699155,14.185479794620035,False,2305.54,2284.62,True,False,True,False,False,False,B,0.01,4.5940594059406035,2.529595015576261,0.15179487179487366,0.9846153846153752,0.0013874121521744926,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:45:26,bitcoin_demo,SOLUSDT,2026-04-29 03:40:00,2026-04-29 03:45:00,84.62,BUY,DOWN,83.84805603355962,84.40175055283383,47.830779291172234,True,84.61,83.96,True,False,True,False,False,False,A,0.0025,0.5000000000000119,0.07821229050283303,0.5000000000000507,0.7142857142857723,0.0015109565452274085,,,,2.0,,,,NONE,NO_M15_TREND,M15 trend=-1.0 not aligned with BUY,,
2026-04-29T10:50:17,bitcoin_demo,BTCUSDT,2026-04-29 03:45:00,2026-04-29 03:50:00,76972.6,NONE,DOWN,76381.5088586536,76818.15588033176,20.805135878471813,True,76989.4,76365.5,False,False,False,False,False,False,,,0.3316816664980037,,0.13846153846213546,,0.0010532504887639457,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:50:23,bitcoin_demo,ETHUSDT,2026-04-29 03:45:00,2026-04-29 03:50:00,2310.28,NONE,DOWN,2288.3588874272195,2297.446140354818,14.63075537218614,True,2313.81,2284.62,False,False,False,False,False,False,,,1.5667131566712986,,0.04532577903678924,,0.0014889970046920815,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:50:30,bitcoin_demo,SOLUSDT,2026-04-29 03:45:00,2026-04-29 03:50:00,84.62,NONE,DOWN,83.87832834596904,84.40392218912405,49.08120222834208,True,84.66,83.96,False,False,False,False,False,False,,,0.1694915254238125,,0.7272727272727155,,0.0015447209372995224,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:55:32,bitcoin_demo,BTCUSDT,2026-04-29 03:50:00,2026-04-29 03:55:00,76937.4,NONE,DOWN,76381.5088586536,76818.15588033176,20.805135878471813,True,76989.4,76365.5,False,False,False,False,False,False,,,0.7372499738194852,,0.27225130890035737,,0.0010207742175550175,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:55:38,bitcoin_demo,ETHUSDT,2026-04-29 03:50:00,2026-04-29 03:55:00,2310.26,NONE,DOWN,2288.3588874272195,2297.446140354818,14.63075537218614,True,2313.81,2284.62,False,False,False,False,False,False,,,0.009168003667193394,,0.7335766423359045,,0.0015520825732663445,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
2026-04-29T10:55:45,bitcoin_demo,SOLUSDT,2026-04-29 03:50:00,2026-04-29 03:55:00,84.55,NONE,DOWN,83.87832834596904,84.40392218912405,49.08120222834208,True,84.66,83.96,False,False,False,False,False,False,,,1.2173913043479336,,0.18181818181814657,,0.001579792177071885,,,,2.0,,,,NONE,NO_DONCHIAN_BREAKOUT,M5 close did not break Donchian high/low,,
