symbol,variant,strategy,timestamp,entry_time,exit_time,side,pattern,entry,sl,tp,rr,qty,spread,slippage,fee,gross_pnl,pnl,r_multiple,result,balance,atr,atr_percentile_100,m15_adx,m15_rsi14,m15_macd_hist,m15_bb_pct
XAUUSDm,both_baseline,momentum,2026-04-20 13:25:00+00:00,2026-04-20 13:30:00+00:00,2026-04-20 14:51:00+00:00,BUY,session_breakout,4824.453508594206,4799.549,4869.281624063778,1.8,1.0038343019470801,0.2057849999999988,0.1926160942060843,0.9660903840151615,-25.0,-25.96609038401516,-1.0386436153606065,SL,10619.696486110524,6.859499999999961,99.0,18.41847392036155,65.54160011672974,1.8654484365508428,1.0762242804859457
XAUUSDm,both_baseline,momentum,2026-04-29 12:50:00+00:00,2026-04-29 12:55:00+00:00,2026-04-30 00:45:00+00:00,SELL,session_breakout,4544.914357839637,4568.888,4501.761801950984,1.8,1.0428119278986319,0.17339357142857026,0.13694537464841713,0.950398180726585,-25.0,-25.950398180726584,-1.0380159272290634,SL,10593.746087929798,5.7797857142856754,95.0,20.702548664922677,37.018509482495936,0.11859892273821071,0.07616364644450102
XAUUSDm,both_baseline,momentum,2026-05-01 13:50:00+00:00,2026-05-01 13:55:00+00:00,2026-05-03 22:03:00+00:00,BUY,session_breakout,4617.019888802445,4586.483,4671.986288646846,1.8,0.8186819607503149,0.22602857142856853,0.1098745167306952,0.7567408019691871,7.6662289158981824,6.909488113928996,0.2763795245571598,TIMEOUT,10600.655576043726,7.534285714285618,100.0,38.294848342025965,64.64386456732902,4.522599424245453,1.0699495578250033
XAUUSDm,both_rsi_macd,momentum,2025-01-03 13:35:00+00:00,2025-01-03 13:40:00+00:00,2025-01-05 23:05:00+00:00,SELL,session_breakout,2644.9568739226193,2656.394,2624.3700469833343,1.8,2.1858638114904663,0.07387714285714213,0.06218750595216532,1.1554128279604594,8.902747716216613,7.7473348882561535,0.3098933955302461,TIMEOUT,10007.747334888256,2.462571428571404,100.0,22.9170313112483,32.757845219330136,-0.2116379730791943,-0.12462227529607396
XAUUSDm,both_rsi_macd,momentum,2025-01-07 13:10:00+00:00,2025-01-07 13:15:00+00:00,2025-01-07 15:00:00+00:00,BUY,session_breakout,2654.9589636422224,2647.585,2668.232098198223,1.8,3.3903069248745794,0.06860785714285579,0.04165971365116851,1.7977251519388127,-25.0,-26.797725151938813,-1.0719090060775525,SL,9980.949609736317,2.2869285714285263,100.0,29.35827353571139,73.87488342939687,0.6410938942025186,1.0750465122481387
XAUUSDm,both_rsi_macd,momentum,2025-01-13 12:00:00+00:00,2025-01-13 12:05:00+00:00,2025-01-13 17:35:00+00:00,SELL,session_breakout,2673.0580294992337,2680.55,2659.572482597854,1.8,3.3369058243678893,0.06136285714285707,0.0552890721947306,1.7794485815018692,45.0,43.22055141849813,1.7288220567399253,TP,10024.170161154816,2.045428571428569,66.0,19.272499199964653,29.742003769230635,-0.8310377867980376,0.053679440755844784
XAUUSDm,both_rsi_macd,momentum,2025-01-23 13:10:00+00:00,2025-01-23 13:15:00+00:00,2025-01-23 14:30:00+00:00,SELL,session_breakout,2740.6643872582235,2746.514,2730.1350843230257,1.8,4.273787189612704,0.08819785714285834,0.06951381320493961,2.3451032698583893,-25.0,-27.345103269858388,-1.0938041307943356,SL,9996.825057884958,2.9399285714286116,100.0,21.034694030739566,38.04067255800109,-0.48469859800545245,0.2035148580036898
XAUUSDm,both_rsi_macd,momentum,2025-01-24 13:40:00+00:00,2025-01-24 13:45:00+00:00,2025-01-24 14:15:00+00:00,BUY,session_breakout,2783.964511117432,2777.85,2794.970631128809,1.8,4.0886343192225665,0.05255785714285528,0.01923218886031703,2.2740225687304814,-25.0,-27.27402256873048,-1.0909609027492193,SL,9969.551035316228,1.7519285714285096,50.0,34.62164324979766,71.63787260500625,0.47904578272105924,1.0203166261648962
XAUUSDm,both_rsi_macd,momentum,2025-02-03 12:35:00+00:00,2025-02-03 12:40:00+00:00,2025-02-03 14:45:00+00:00,BUY,session_breakout,2808.0859707648915,2800.096,2822.4679181416964,1.8,3.128922587533335,0.06067071428571547,0.05963540774855266,1.7617567243323484,45.00000000000057,43.23824327566822,1.7295297310267288,TP,10012.789278591896,2.0223571428571825,47.0,32.5962657261514,67.71926199504392,0.30412368828532,0.9052399724279602
XAUUSDm,both_rsi_macd,momentum,2025-02-11 12:45:00+00:00,2025-02-11 12:50:00+00:00,2025-02-11 13:15:00+00:00,SELL,session_breakout,2896.6851172331176,2904.236,2883.0935282527294,1.8,3.310871161932013,0.08019428571428665,0.06678562402521694,1.913610243968956,45.0000000000003,43.086389756031345,1.7234555902412538,TP,10055.875668347928,2.673142857142888,57.99999999999999,33.99080280425428,32.94543234643815,-0.3521815151620178,0.08929286822643502
