symbol,variant,strategy,month,trades,pnl,wins,losses
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-04,65,-667.0927019150597,21,44
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-05,68,-830.6076272627989,20,48
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-06,60,-689.2599280321002,20,40
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-07,75,-985.1136591466095,27,48
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-08,64,-1418.796607254362,16,48
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-09,67,-796.1459171270558,24,43
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-10,69,-227.99673157858896,30,39
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-11,60,-46.053534929591486,29,31
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2025-12,65,-757.8448268400165,21,44
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2026-01,63,-863.5164149055985,18,45
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2026-02,61,-289.3511590289347,24,37
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2026-03,69,-385.76236438164756,25,44
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2026-04,63,-424.66280965284847,23,40
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr30,sweep,2026-05,12,-198.23701944536367,3,9
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-01,64,-920.2495991691021,23,41
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-02,62,-1183.3499877570243,15,47
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-03,63,-819.2423826959376,23,40
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-04,64,-640.1729023157976,21,43
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-05,66,-837.4160640532328,19,47
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-06,59,-588.2978820356972,21,38
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-07,75,-1113.4920483694875,25,50
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-08,64,-1383.6937407871737,16,48
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-09,65,-695.1704196709512,24,41
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-10,64,-252.61593338470334,27,37
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-11,59,-68.44369486656451,28,31
XAUUSDm,A_sweep_lb30_wick2_rr1.5_atr40,sweep,2025-12,62,-792.3018054635465,19,43
